,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-25,2024-05-26,2024-05-27,Tipo,SaldoFinal
Cajero_321,23095.07651572251,346890.65607216547,326948.58343067626,25677.01392828605,12888.839898644408,326364.76697709755,180071.43100125185,A,261860.0
Cajero_322,23905.9241483472,354211.42361160705,340039.910254931,26578.511091218086,13341.355624755111,337823.14419855137,186393.57907602895,A,213540.0
Cajero_323,24258.90719255172,362447.6454521821,344884.7391221547,26970.956231476357,13538.347478867005,342811.2735468238,189145.77441280623,A,384350.0
Cajero_324,24013.44903944592,364576.55290667526,339949.64863557456,26698.05683615206,13401.362834757085,339342.61680145795,187231.9465521107,A,258210.0
Cajero_325,23424.262164032534,351835.0616658889,331608.7447134243,26043.00121873276,13072.55096429561,331016.60683265154,182638.0789496104,A,444590.0
Cajero_326,23533.55062993719,353476.5867594721,333155.9017054573,26164.507699099875,13133.542385512794,332561.00114041555,183490.19695121064,A,416110.0
Cajero_327,22706.397009382345,340074.3687475924,321446.1892766694,25244.881603842725,12671.92665630498,320872.19818525465,177040.91171027283,A,505960.0
Cajero_328,22342.83716818003,333820.0134099502,317644.2989304339,24840.67722288031,12469.032130987292,315734.6043446173,174206.24949058628,A,475070.0
Cajero_329,23819.551688999378,356746.11877613154,338638.49698841776,26482.482535513387,13293.15310854226,336602.58415628003,185720.13630378828,A,421140.0
Cajero_330,23462.16059813328,352404.3004237845,332145.2590365114,26085.13654656345,13093.701223278353,331552.16312776343,182933.571595265,A,225020.0
Cajero_331,23446.295835309986,352166.0098954784,331920.66736962483,26067.498166551795,13084.847457934897,331327.97250347835,182809.8746444391,A,411920.0
Cajero_332,23422.9401301416,356709.79180428846,333450.439977753,26041.531386727296,13071.813167079425,332096.3773102095,182627.7711017705,A,435410.0
Cajero_333,23705.855751303945,353946.28839950886,337504.3776975814,26356.075845593663,13229.70197699545,336107.6266388784,184833.6534126877,A,464660.0
Cajero_334,23712.46565386055,355026.8211975623,336800.76683841937,26363.42470888472,13233.390814126593,336201.3435113644,184885.1905708927,A,290140.0
Cajero_335,24371.28071860776,366472.5211040292,346978.14830727363,27095.892669411394,13601.060602384756,345542.19035229494,190021.94651077664,A,318950.0
Cajero_336,23336.12700277599,350670.8411585512,331455.4287311787,25945.01289807855,13023.364724011732,330865.51880393736,181950.8924577973,A,363350.0
Cajero_337,22041.853081262896,329726.4253361558,313813.6832324206,24506.04431587511,12301.0597189594,312514.97535407974,171859.48804111127,A,286730.0
Cajero_338,23271.78758016098,347240.85595056234,331324.47390010406,25873.48058470869,12987.458347313152,329953.2981753588,181449.24043286504,A,458140.0
Cajero_339,23653.85656468348,355445.3477732,335968.31075955,26298.26335736899,13200.682406925844,335370.3690015457,184428.2177372842,A,411990.0
Cajero_340,24364.229561459768,365163.8423550653,347524.684985166,27088.0532210261,13597.12551104532,345442.21726045926,189966.96890734727,A,480590.0
Cajero_341,27632.05495607701,366610.4417858429,338484.5097595827,24877.219178021955,13206.584814612135,329723.44415233564,184510.68093853284,A,221540.0
Cajero_342,22358.260787673567,337930.7276924396,319074.33714358264,24857.825141497964,12477.639704215051,317001.08394967817,174326.50686369045,A,455840.0
Cajero_343,23659.58399280575,351670.9792463118,337645.4971738847,26304.63108910474,13203.87875503271,335451.57392800425,184472.8742759725,A,260640.0
Cajero_344,27447.32575796624,364159.53275870817,336221.6316580373,24710.90694546137,13118.2945362936,327519.13659962546,183277.1675358262,A,489400.0
Cajero_345,23025.007752339367,344288.7778384857,328009.9750676629,25599.111756708407,12849.73610643456,326454.39127650484,179525.10752480436,A,475450.0
Cajero_346,24144.331379772248,363782.8658573762,342934.7855348095,26843.57129994862,13474.405308934536,342324.445148599,188252.43116922423,A,248250.0
Cajero_347,23860.53428659241,356664.74803880067,340340.1137970957,26528.04682401,13316.024569420408,338300.69808642264,186039.67605459632,A,369800.0
Cajero_348,22341.95631403062,335258.6056649246,318841.6562937839,24839.69789275132,12468.54054620739,316769.91499306186,174199.38150436943,A,508220.0
Cajero_349,24045.177610899136,358780.69212911563,342335.3618334552,26733.332535307,13419.06983293026,340918.6179016156,187479.3330139532,A,432140.0
Cajero_350,22065.65045151678,331579.452049755,313410.17426626955,24532.50213717956,12314.340493110649,312852.38049651333,172045.0352296112,A,494470.0
Cajero_351,23697.042966185927,353586.137495104,337378.9085481762,26346.27782625962,13224.783760925891,335982.67673952994,184764.9404631451,A,472970.0
Cajero_352,22324.77038581281,336367.5234081167,317090.5925681013,24820.590646325065,12458.949468335964,316526.248550244,174065.38347733722,A,292080.0
Cajero_353,23559.9911759174,354978.6065614617,334635.09069810703,26193.904192631435,13148.29825626038,334039.5217470665,183696.3528800671,A,310760.0
Cajero_354,22674.66793979721,341639.43311407644,322060.37370419526,25209.605350866717,12654.21938013565,321487.1846864548,176793.5213645148,A,359630.0
Cajero_355,23657.381918279825,352378.2266354071,337018.6597393321,26302.182831432383,13202.649827040626,335420.35235767346,184455.7047848568,A,324570.0
Cajero_356,23919.584394881687,358499.6325509884,341182.388338542,26593.69849881516,13348.979099413842,339137.9254769075,186500.08749740705,A,349190.0
Cajero_357,24689.009398562168,370477.9809730509,352336.4086047765,27449.14214814992,13778.3777931008,350047.0280453492,192499.264913709,A,368820.0
Cajero_358,24200.297580908664,363656.6902457716,343729.7032685843,26905.794299085024,13505.638780089808,343117.9481224336,188688.7975055504,A,450610.0
Cajero_359,22902.058634269637,345065.5308263444,325290.12473001337,25462.41741776574,12781.120984185389,324711.1875421496,178566.4779391398,A,380850.0
Cajero_360,23720.398630145814,353934.62987957546,337711.42718463426,26372.244560268664,13237.818028783831,336313.8192582597,184947.04368451252,A,262640.0
Cajero_361,24156.22857083849,360437.6954964181,343916.4136005905,26856.798549510127,13481.044862208675,342493.12653664494,188345.19311434,A,499360.0
Cajero_362,24321.483180303472,366452.0136865447,345450.9668183873,27040.527965000783,13573.269722449217,344836.14824238326,189633.67700334772,A,256280.0
Cajero_363,23185.41521903164,347135.73794964043,329314.7890744832,25777.452138202905,12939.255885913808,328728.6889644138,180775.79842643003,A,259430.0
Cajero_364,23165.5841171882,349036.0717328067,329033.1173830776,25755.403998293063,12928.18859646362,328447.5185800094,180621.17608149655,A,326970.0
Cajero_365,23281.48235755455,350782.31160025724,330679.28175925056,25884.25919953583,12992.868783325071,330090.75318456534,181524.83024255064,A,323250.0
Cajero_366,24157.551873878598,367897.2516496134,343908.4186858446,26858.269792550556,13481.783367708304,342511.88866229,188355.51085768736,A,345160.0
Cajero_367,22981.820639947266,346267.30570905044,326423.0269371874,25551.096497453495,12825.634355703076,325842.0734593471,179188.37925616393,A,282160.0
Cajero_368,22802.025359464504,343558.3285428223,323869.29890128976,25351.200821937848,12725.294675810845,323292.89043731644,177786.52230965148,A,502870.0
Cajero_369,23209.6515218978,347776.1282015355,329659.0301799763,25804.397963034484,12952.781618429324,329072.3174045894,180964.76795577188,A,262170.0
Cajero_370,23999.347072650988,361598.3859511277,340875.49627612263,26682.37832573175,13393.49284601069,340268.820923191,187121.9940547043,A,340510.0
Cajero_371,23104.77057052521,361648.3674972127,328920.9582366847,25687.791739739558,12894.249931394706,327585.2887136496,180147.0151769241,A,352470.0
Cajero_372,23061.583107119757,343893.8445595992,328331.75637885934,25639.776090229392,12870.147984770603,326972.96591973555,179810.28417144588,A,365020.0
Cajero_373,23006.058957510464,345710.92475686845,326767.29665849445,25578.044562217205,12839.161212575442,326185.7304644074,179377.36449402172,A,315150.0
Cajero_374,23060.70229139705,344313.6611289416,328319.2160527275,25638.796802823064,12869.65642143578,326960.4774913418,179803.4164848406,A,333490.0
Cajero_375,23866.703174157,352728.57999693207,339794.3903393437,26534.905368592437,13319.46728605824,338388.16213665926,186087.77463572397,A,555910.0
Cajero_376,23689.9913735241,355486.9307086632,338079.4403566357,26338.437893671773,13220.848426536031,335882.6974728688,184709.9594640309,A,395320.0
Cajero_377,23796.194747470825,358537.4879748208,337990.015706347,26456.51438110859,13280.11812770214,337388.4758059843,185538.02312126663,A,273800.0
Cajero_378,24221.008294179,363967.9091229502,344023.8685491183,26928.82038746993,13517.196960784571,343411.589860421,188850.27814724072,A,389170.0
Cajero_379,24287.110264821906,364961.2202085826,344962.7500103312,27002.3122947052,13554.08697567676,344348.8003413257,189365.67269194237,A,378280.0
Cajero_380,24097.6190803758,363079.0512071406,342271.30589135253,26791.636751846632,13448.336231059498,341662.146337297,187888.2171519227,A,283380.0
Cajero_381,23544.567339841346,354746.2154795963,334416.01774745586,26176.7560332182,13139.690562162814,333820.8386929057,183576.0938182773,A,547630.0
Cajero_382,24022.70423026241,361950.3084624832,341207.25041377865,26708.346720376623,13406.527947441777,340599.9846192906,187304.10892201588,A,410300.0
Cajero_383,22795.854235166717,342782.73139347526,324548.5283652553,25344.33979056436,12721.850710902794,323205.3946741099,177738.40628880032,A,346480.0
Cajero_384,22371.921129619863,334955.97457780206,317760.2996708138,24873.012655173505,12485.263232120957,317194.76373744087,174433.01602899074,A,266090.0
Cajero_385,23745.51671367963,357062.8673747086,338274.2116311114,26400.170745328523,13251.835863148128,336669.949808063,185142.88842409867,A,505260.0
Cajero_386,23493.4491214732,353034.91295546223,333689.9584925002,26119.923001981675,13111.162640551369,333096.07164657034,183177.5270187467,A,454260.0
Cajero_387,23640.195285025427,352750.1183038422,336569.5582570537,26283.074801149254,13193.05835570422,335176.6759186683,184321.7012606811,A,443870.0
Cajero_388,23215.822105151085,347951.85220052174,331144.11614831665,25811.25839287685,12956.22528139267,329159.80549672985,181012.87975811964,A,285690.0
Cajero_389,23608.906044664604,353843.2776346294,336750.9576003547,26248.28754855005,13175.596538278052,334733.04914445104,184077.74024661476,A,363060.0
Cajero_390,23301.3135700196,347681.41643419425,332532.62642091163,25906.307462434343,13003.936134510684,330371.92513739114,181679.45344999665,A,374910.0
Cajero_391,23013.98943895691,346751.9933034529,326879.9375062051,25586.861639849303,12843.58703491956,326298.17083884624,179439.19815547846,A,495390.0
Cajero_392,22978.294862584597,351970.4229262047,327893.46091008664,25547.17655224839,12823.666699093892,325792.084094953,179160.88890450148,A,433140.0
Cajero_393,24068.09357592898,362634.1901565444,341851.9394414801,26758.81041379988,13431.858714759315,341243.52625755616,187658.0079195284,A,520280.0
Cajero_394,24025.787901116644,361996.7701599751,341251.0494317105,26711.775133329505,13408.248874407018,340643.7056856391,187328.15218608905,A,290000.0
Cajero_395,23609.787533469917,355728.8887446697,335342.3748605499,26249.26758428694,13176.08847724506,334745.5471159805,184084.6131812195,A,285690.0
Cajero_396,23761.381285105825,356128.5312899144,338925.8225912097,26417.808912545654,13260.689521677192,336894.88171963964,185266.5838826087,A,399550.0
Cajero_397,23109.17701968593,345994.28745846706,328231.9373636223,25692.69081233613,12896.709071017622,327647.7644658373,180181.3720930168,A,483350.0
Cajero_398,24014.331241604777,355014.9704345,338359.10725945927,26699.03766499258,13401.855171830572,340481.2702655412,187238.82504870585,A,210840.0
Cajero_399,23949.11043101901,360841.47000359214,336634.4754811951,26626.52542799328,13365.456912438469,339556.55309509096,186730.3008753719,A,267510.0
Cajero_400,22883.549345082796,342616.15389539284,321656.6917221493,25441.83886389389,12770.7913684855,324448.75815235544,178422.1617170904,A,241080.0
Cajero_401,23128.12639344564,348471.6958601751,329382.26097988564,25713.758650480297,12907.284287964929,327916.4334861622,180329.1196377008,A,466300.0
Cajero_402,22334.02403002141,336395.6346020079,319417.3108529463,23478.62775823468,12464.11371789376,311186.46955745923,174137.53378839957,A,386890.0
Cajero_403,23133.41426287921,347598.12496028014,330850.0503430768,24318.986203520137,12910.235328308436,322324.6067792761,180370.34895405328,A,289520.0
Cajero_404,22077.989670501185,332649.2760712031,314426.6004020588,24546.220831616924,12321.226732169263,313027.32906833186,172141.24364955074,A,454060.0
Cajero_405,22430.97358304452,337769.8773072718,320966.6343750429,23580.54591072243,12518.219070881412,312537.2959508526,174893.44575673266,A,384020.0
Cajero_406,23404.8726750444,351677.0055786385,334732.4011413772,24604.3566769512,13061.730128992702,326106.9159950183,182486.89984327136,A,439210.0
Cajero_407,24079.11097498776,362800.1894108146,342925.833264847,26771.05951411757,13438.007276010949,341399.7337317021,187743.91015990745,A,577220.0
Cajero_408,23141.347148411573,347743.8937965239,329570.5461046061,25728.457433104883,12914.662492318534,328103.8806983866,180432.20136007623,A,266110.0
Cajero_409,23337.44909018958,350663.9120764294,333768.1208068776,24533.477678665706,13024.1025510977,325167.48352607875,181961.20072295124,A,446380.0
Cajero_410,22894.12666634727,344002.63667932106,327427.80093106057,24067.435278412144,12776.694332272678,318990.54291897174,178504.63268768703,A,380020.0
Cajero_411,23178.36402935676,349113.1050190934,331492.9140523853,24366.239615333758,12935.320776421851,322950.904983253,180720.8205693897,A,281540.0
Cajero_412,23966.73747985174,360987.6058625663,341325.45131983125,26646.123110559285,13375.29416974896,339806.4738577064,186867.7383030193,A,379300.0
Cajero_413,23822.19544576887,356954.5578731861,339266.93688667164,26485.421853741973,13294.62852940565,337757.1202914477,185740.74957451623,A,282390.0
Cajero_414,23348.905958266303,342376.3679810045,332526.5222573316,25959.220489808773,13030.496370069472,331046.70207130525,182050.52948650668,A,315870.0
Cajero_415,23481.5512786536,353796.75189854525,334415.60807406896,26106.69502780339,13104.52272354842,332927.3810178004,183084.75999193496,A,463110.0
Cajero_416,22700.227014667973,343783.64458324586,322684.18094263616,25238.02182833557,12668.483321791891,321849.5677231197,176992.80449674054,A,289550.0
Cajero_417,23377.990771246048,352236.4047685384,332318.60629541706,25991.55686884065,13046.7279464283,331459.0739158154,182277.30266433532,A,448500.0
Cajero_418,23315.414672903215,350332.82726351346,332832.5225237781,25921.985012361503,13011.80564112771,330571.8541453512,181789.39921151943,A,301740.0
Cajero_419,24177.82298903096,364287.4842461263,343688.23726521694,26880.807137501757,13493.096218635124,342799.2976668272,188513.5639696133,A,395800.0
Cajero_420,27620.21944946224,375854.9303623788,338611.2666637053,24866.56363710737,13200.928100980804,321997.93278594734,184431.6503565434,A,484230.0
Cajero_421,23322.465311726675,353207.1340234126,331529.3107780245,25929.82388447565,13015.740443201948,330671.8198882504,181844.37277359224,A,491400.0
Cajero_422,23051.889608049376,347323.0355042938,327683.0717396364,25628.99889663688,12864.738262161947,326835.529034919,179734.7043287974,A,486520.0
Cajero_423,23104.77057052521,349910.2554728815,328434.775678674,25687.791739739558,12894.249931394706,327585.2887136496,180147.0151769241,A,376950.0
Cajero_424,23852.60125353785,373353.81788679,339841.1390571816,26519.22690951018,13311.597323081503,338188.22153463773,185977.8224983484,A,417630.0
Cajero_425,24475.77045155772,355133.83674772806,333949.4271531803,24524.212568884992,13019.183976507024,317564.81778608606,181892.4827644698,A,415860.0
Cajero_426,23862.737619258827,359421.1573329307,339209.2924332454,26530.49648047793,13317.254199552246,338331.93749498785,186056.8553553855,A,482990.0
Cajero_427,23065.109787895854,347522.2240772162,327870.9968605138,25643.697039845945,12872.11614555439,327022.968092954,179837.78156698836,A,479830.0
Cajero_428,23507.109490153154,352456.89111860254,333292.75706421,26135.11054537959,13118.786183376718,327086.56578247686,183284.0363924883,A,352750.0
Cajero_429,24390.67059159161,366025.14789268427,345383.34420867753,27117.450252835515,13611.881651986983,339380.759862338,190173.1286111156,A,417040.0
Cajero_430,24269.92374499766,363894.2454592572,342647.3363109699,26983.204390533272,13544.49556764316,337700.6438362471,189231.6700521773,A,551850.0
Cajero_431,23167.786974516628,347369.215026487,327087.16263166285,25757.85312628212,12929.417961320078,322365.1075198728,180638.3516760936,A,291730.0
Cajero_432,23391.652676039,350725.7744205593,331655.7663523542,26006.746120082866,13054.352346523576,325480.0572136286,182383.8240150914,A,316440.0
Cajero_433,23818.22856710378,357121.695299467,337703.9219067263,26481.01149386869,13292.414704135275,331415.59102787427,185709.81997281755,A,537290.0
Cajero_434,23198.634926887127,348825.4379873313,327522.67981010384,25792.149756654275,12946.633505898755,322794.3372729615,180878.87198452523,A,326100.0
Cajero_435,22471.07378296129,335232.24358514184,318766.50689827587,24983.25017957145,12540.59808557223,312670.78396824084,175206.1054865038,A,348710.0
Cajero_436,23405.313599030957,348865.3735623498,331849.456124801,26021.934279762645,13061.97619869792,325670.14031970885,182490.33771078257,A,331110.0
Cajero_437,24234.22958348592,364397.11971791176,337599.9724465244,26943.519764172688,13524.575463341796,337203.9821470568,188953.36403585243,A,276060.0
Cajero_438,23409.279835179623,351297.6439723924,331284.1217761486,26026.343925288737,13064.189665394408,325725.3279879968,182521.2623028052,A,281630.0
Cajero_439,24459.41620582589,364456.49108223576,346145.4719648001,27193.881352468397,13650.247024580422,340337.3116188147,190709.13554409973,A,324730.0
Cajero_440,22467.98947226828,337839.11394179525,314347.4246710657,24979.82105524836,12538.87680152743,312627.86773505586,175182.057233632,A,320480.0
Cajero_441,23334.363984324697,349866.80900048785,325064.20767480583,25943.052781198272,13022.380823285464,324682.92129018164,181937.1462701547,A,411980.0
Cajero_442,23901.0760072844,358363.879125404,332958.90730522794,26573.120947326985,13338.649986870698,332568.3607762732,186355.77830501707,A,450520.0
Cajero_443,24290.19522088126,365238.6450075762,338379.6133910624,27005.742136544017,13555.808619885922,337982.7086061792,189389.7259767109,A,275710.0
Cajero_444,23434.838142834746,352377.09913104144,326463.88382410223,26054.759549770308,13078.45317888495,326080.9556793396,182720.5394530798,A,290190.0
Cajero_445,22709.922326045627,340802.5477121496,321583.1598493624,25248.80103684409,12673.894055808252,315994.2104291729,177068.3984698797,A,298110.0
Cajero_446,22297.447880195465,332642.02464452235,315549.66623702296,24790.213593587665,12443.70139586077,310254.88930920814,173852.35094281813,A,324940.0
Cajero_447,22244.126272212176,334473.00300229725,309876.4246136038,24730.930842567835,12413.943812335683,309512.9528476215,173436.60439847127,A,486330.0
Cajero_448,23113.144123409456,344173.4837690134,327093.25986621063,25697.101422428485,12898.923021888017,321604.78679559595,180212.30344948743,A,365780.0
Cajero_449,23671.48372825692,355614.7869166545,335795.0872324289,26317.86116750325,13210.519728270532,329373.72937726055,184565.65605956045,A,294730.0
Cajero_450,23515.48338632343,351359.28238929994,327587.3291511317,26144.42060973257,13123.4594654502,327203.08325314685,183349.32734163984,A,433980.0
Cajero_451,23534.432216028203,352014.0866147721,329267.9199149258,26165.48784299862,13134.03437877275,327466.7442377663,183497.07064434825,A,288210.0
Cajero_452,22955.822366269327,342685.3319810892,324866.8692844669,25522.19172050308,12811.125307125212,319415.75401436933,178985.67170758484,A,471410.0
Cajero_453,23504.46536562263,353424.0463570904,327433.84032359574,26132.17081827576,13117.310557274212,327049.7744614277,183263.4202543416,A,252590.0
Cajero_454,22761.482141382585,341576.293926431,322313.2710359732,25306.12503382871,12702.668422701096,316711.6326600094,177470.4083841385,A,317360.0
Cajero_455,23858.771913393637,358751.56399325776,332369.5813321163,26526.087424518893,13315.04102879497,331979.72605727176,186025.9348979629,A,502950.0
Cajero_456,22794.974833647084,341779.40790038364,318922.24461129366,25343.36207546336,12721.35993680272,317177.662296541,177731.54962868243,A,358340.0
Cajero_457,24037.6862854101,362567.2920669648,340989.9039594092,26725.00370951625,13414.889093594276,334469.2064222017,187420.9234347518,A,459400.0
Cajero_458,23314.53399335492,350568.1501232119,324787.96186381567,25921.00587635333,13011.31415378874,324406.99950368894,181782.5325866608,A,348330.0
Cajero_459,24378.33135865865,363786.2148800937,345208.6148784874,27103.7315428902,13604.995405143996,339209.0672377674,190076.9200824197,A,498630.0
Cajero_460,22973.44936553521,345439.4434098673,320036.411559434,25541.789347960854,12820.962536773564,319661.02256418153,179123.10874876133,A,287030.0
Cajero_461,23700.1276374405,352914.14492096927,336201.4193446613,26349.70735145361,13226.505246191944,329772.2912629474,184788.9915273016,A,277460.0
Cajero_462,27254.196703966307,362218.18124424765,329635.31712897826,25775.98129341943,12938.517580323332,322591.98545568937,180765.48347603585,A,283190.0
Cajero_463,24698.158595906574,355069.6108280272,333938.43058736715,26172.34613861113,13137.47697043758,327552.57729193004,183545.16747946403,A,364860.0
Cajero_464,23206.126351425963,346736.9888987535,323277.7666747288,25800.478692568187,12950.814300512193,322898.57570883783,180937.2823360141,A,359990.0
Cajero_465,24711.483827558663,371573.3359584217,344248.4618938118,27474.129128642515,13790.920263655167,343844.6732011507,192674.4971796675,A,421450.0
Cajero_466,27616.846325187707,360265.6022630309,332636.5688654644,26010.66551745917,13056.31972814449,325529.1093202011,182411.31052486185,A,425320.0
Cajero_467,23046.160727284823,342965.65965482953,326145.3223083288,25622.62954985923,12861.541103368276,320672.7551899223,179690.0364639126,A,385860.0
Cajero_468,22570.667644835798,338416.2290094572,315783.98485622904,25093.978237856187,12596.179167527696,314056.5695862978,175982.63503012637,A,395540.0
Cajero_469,23659.58399280575,352538.6252035552,334826.38337581884,26304.63108910474,13203.87875503271,329208.15208226925,184472.8742759725,A,365220.0
Cajero_470,24689.449711544672,370184.4623817004,343941.51106075227,27449.631686367164,13778.623521818476,343538.08240826364,192502.6980172449,A,326020.0
Cajero_471,22052.429204933786,331590.5569590272,307205.94877246686,24517.802807977085,12306.96201439668,306845.6093602001,171941.94967411633,A,264660.0
Cajero_472,24007.279899394245,360984.59897245135,334438.4026993967,26691.19801085549,13397.91997721192,334046.12078575,187183.84600235085,A,396790.0
Cajero_473,23396.0590948156,351793.9993731186,325923.6642352078,26011.6451588985,13056.8114691898,325541.3697448712,182418.1806942803,A,350670.0
Cajero_474,23025.007752339367,344394.41745774366,322140.61248839006,25599.111756708407,12849.73610643456,320378.4249178874,179525.10752480436,A,397390.0
Cajero_475,22239.718132529983,333454.0946273723,309815.0161075021,24726.029890456222,12411.483729270967,309451.6163710657,173402.2343014471,A,349090.0
Cajero_476,24744.856997300507,368483.5174606473,335337.0631968266,26221.8318814715,13162.31684546254,328171.90207570273,183892.20816557785,A,511100.0
Cajero_477,23640.195285025427,353596.02790780563,330747.64058177144,26283.074801149254,13193.05835570422,328938.370472349,184321.7012606811,A,320710.0
Cajero_478,23220.22789828812,349150.1199235805,323474.2112043854,25816.15673610892,12958.684054903602,323094.78981748,181047.2315592207,A,381540.0
Cajero_479,22540.2601767893,337143.85056581046,315358.556969903,25060.17133619807,12579.20944728851,313633.46889407386,175745.54916117375,A,358910.0
Cajero_480,22828.9050449261,341461.22940378456,319396.95885073504,25381.08554899279,12740.295620371671,317649.7797335307,177996.1021923004,A,417100.0
Cajero_481,24692.53548816329,371288.419936011,343984.4981133356,27453.06244050049,13780.3456239632,343581.0190388765,192526.7576998827,A,215270.0
Cajero_482,22333.583941652792,333699.7967681237,311122.6332720735,24830.389522544712,12463.868114528015,310757.69975674246,174134.10243616957,A,316590.0
Cajero_483,23526.059100046685,353050.12336951494,332936.7619460102,26156.1786460564,13129.361532104973,327350.2376229296,183431.7857782988,A,432320.0
Cajero_484,22954.05789169516,342532.4610493678,321147.95998595736,25520.2299847112,12810.140593769696,319391.202466289,178971.91416660766,A,205650.0
Cajero_485,23065.109787895854,346817.6920472041,321313.30612531194,25643.697039845945,12872.11614555439,320936.4193874564,179837.78156698836,A,395370.0
Cajero_486,23502.262145361,352384.2118265637,327403.1479057881,26129.72128677901,13116.08098987294,327019.1180445109,183246.24182996823,A,297830.0
Cajero_487,22601.955880280148,339853.495007647,314861.24434588104,25128.76437319327,12613.640424132704,314491.9255999827,176226.5882088973,A,357050.0
Cajero_488,22661.00643144571,338949.9014683719,317047.9059095029,25194.416540386515,12646.59520128538,315313.576683728,176687.00310479756,A,350850.0
Cajero_489,23472.29609554947,352940.3342870325,326985.6996202608,26096.405152153413,13099.35761516783,326602.1594079322,183012.5976821628,A,407840.0
Cajero_490,23039.1090701252,345439.86619878624,322337.9026347076,25614.78954556299,12857.605732983657,320574.63583907724,179635.05496191155,A,366890.0
Cajero_491,22722.26289966992,341662.48716877407,316537.2062860446,25262.521237364672,12680.781050860753,316165.9217086156,177164.61745189474,A,363740.0
Cajero_492,22633.2437594844,340323.9540756704,315297.1066505141,25163.55011246402,12631.10148192817,314927.27665681177,176470.53861007775,A,508950.0
Cajero_493,23672.364113570817,357028.2090156627,335007.245457594,26318.839976382787,13211.011051403935,329385.97938226466,184572.52039028468,A,479180.0
Cajero_494,23252.83789769465,350729.1995301706,329856.32923960657,25852.412403345734,12976.88295808366,323548.53734099056,181301.4904812072,A,331630.0
Cajero_495,22534.533834237947,338839.70584225893,313922.00751940295,25053.80481139573,12576.013705014224,313553.79045805003,175700.9010866405,A,374700.0
Cajero_496,24878.060027259216,374078.0529817265,346568.9862676287,27659.327882884365,13883.882673517868,346162.4756993257,193973.2854573512,A,575410.0
Cajero_497,22775.583593385632,342600.8602230098,322316.16101812146,25321.802971905465,12710.538124153783,316907.84544874704,177580.35686773225,A,365260.0
Cajero_498,23520.77148160956,353669.23268244707,327660.9960616783,26150.299892973893,13126.41063183691,327276.6637555644,183390.5584189561,A,502600.0
Cajero_499,23652.09283865588,355643.84153478435,329490.39552196424,26296.3024538082,13199.69811131724,329103.91740868444,184414.46603269607,A,448390.0
